City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,alta floresta,-9.8756,-56.0861,306.36,32,80,0.97,BR,1693776520
209,champerico,14.3,-91.9167,299.45,63,26,2.73,GT,1693776408
210,itarema,-2.9248,-39.9167,299.09,78,8,7.33,BR,1693775931
211,bambous virieux,-20.3428,57.7575,296.05,78,75,4.12,MU,1693776520
212,indianola,41.3581,-93.5574,308.04,12,0,6.76,US,1693776520
213,pelhrimov,49.4313,15.2234,288.1,83,100,1.91,CZ,1693776521
214,dapaong,10.8639,0.205,297.06,84,26,2.07,TG,1693776521
215,college,64.8569,-147.8028,286.6,66,75,4.12,US,1693775940
216,ust-nera,64.5667,143.2,276.86,78,88,2.32,RU,1693775982
217,nikolskoye,59.7035,30.7861,287.48,92,39,1.09,RU,1693775923
218,touros,-5.1989,-35.4608,298.49,82,0,6.98,BR,1693776521
219,verkhniy uslon,55.7701,48.9823,282.27,57,4,0.37,RU,1693776522
220,vao,-22.6667,167.4833,293.4,64,8,3.76,NC,1693775953
221,saldanha,-33.0117,17.9442,283.18,78,14,2.28,ZA,1693776499
222,tessalit,20.1986,1.0114,299.46,66,100,9.35,ML,1693775983
223,konevo,62.1215,39.3192,289.33,74,100,1.65,RU,1693776522
224,ongole,15.5,80.05,301.64,70,100,4.0,IN,1693776388
225,mar del plata,-38.0023,-57.5575,282.64,87,0,3.09,AR,1693776236
226,quatre cocos,-20.2078,57.7625,295.98,69,80,7.64,MU,1693776334
227,iquique,-20.2208,-70.1431,293.17,72,55,2.45,CL,1693776452
228,husavik,66.0449,-17.3389,281.31,65,57,5.8,IS,1693775954
229,barkhan,29.8977,69.5256,299.85,46,0,2.47,PK,1693776524
230,krasavino,60.9614,46.4814,286.69,91,8,1.08,RU,1693776524
231,aguimes,27.9054,-15.4461,295.5,64,40,5.66,ES,1693776524
232,hamilton,39.1834,-84.5333,307.73,48,75,4.12,US,1693776208
233,san rafael,-34.6177,-68.3301,288.07,39,0,4.48,AR,1693776384
234,kumano,34.3442,132.5894,297.8,87,0,2.31,JP,1693776526
235,sao sebastiao,-23.76,-45.4097,295.87,92,11,3.39,BR,1693776526
236,ambon,-3.6954,128.1814,299.19,95,40,2.57,ID,1693776339
237,tukrah,32.5341,20.5791,298.92,65,4,3.8,LY,1693776526
238,thunder bay,48.4001,-89.3168,304.14,58,40,4.63,CA,1693776340
239,lorengau,-2.0226,147.2712,300.46,76,31,4.23,PG,1693776011
240,berezovyy,51.6667,135.7,282.19,65,96,0.35,RU,1693776527
241,bonga,7.2833,36.2333,288.18,98,76,0.62,ET,1693776527
242,manono,-7.3,27.4167,300.34,47,30,1.17,CD,1693776527
243,hithadhoo,-0.6,73.0833,300.85,70,100,2.19,MV,1693776474
244,talnakh,69.4865,88.3972,276.6,85,100,4.77,RU,1693776325
245,umm kaddadah,13.6017,26.6876,305.35,37,63,2.16,SD,1693776321
246,necochea,-38.5473,-58.7368,281.78,72,100,2.9,AR,1693776528
247,aswan,24.0934,32.907,304.74,18,0,6.41,EG,1693775999
248,balkhash,46.844,74.9804,291.97,47,100,6.72,KZ,1693776387
249,belaya gora,68.5333,146.4167,277.3,59,100,1.56,RU,1693775949
250,pimenta bueno,-11.6725,-61.1936,308.23,32,93,3.36,BR,1693775980
251,kahului,20.8947,-156.47,303.16,64,20,11.32,US,1693776529
252,byron bay,-28.65,153.6167,288.54,87,68,2.14,AU,1693776248
253,visaginas,55.6,26.4167,287.3,66,40,1.49,LT,1693776529
254,mareeba,-17.0,145.4333,287.55,91,79,1.13,AU,1693776529
255,faanui,-16.4833,-151.75,298.14,82,99,6.87,PF,1693775997
256,clyde river,70.4692,-68.5914,275.28,87,100,8.23,CA,1693775956
257,port augusta,-32.5,137.7667,284.89,69,60,2.61,AU,1693776529
258,trincomalee,8.5711,81.2335,299.8,80,100,9.34,LK,1693776530
259,koumac,-20.5667,164.2833,293.85,84,100,2.84,NC,1693776530
260,conceicao do araguaia,-8.2578,-49.2647,307.9,17,0,1.97,BR,1693776530
261,kutum,14.2,24.6667,300.78,44,25,1.65,SD,1693776321
262,sena madureira,-9.0656,-68.6569,305.58,45,92,1.7,BR,1693776335
263,flinders,-34.5833,150.8552,283.25,86,2,3.13,AU,1693775998
264,victoria,22.2855,114.1577,302.22,87,99,1.34,HK,1693775945
265,tecoanapa,16.5167,-98.75,303.61,65,100,3.19,MX,1693776531
266,bambari,5.768,20.6757,294.99,97,94,1.57,CF,1693776531
267,kruisfontein,-34.0033,24.7314,283.87,76,51,3.58,ZA,1693775980
268,kamenka,51.3223,42.7678,290.36,46,5,3.69,RU,1693776531
269,waingapu,-9.6567,120.2641,295.0,82,14,4.56,ID,1693776531
270,sorland,67.667,12.6934,285.07,87,100,10.56,NO,1693775933
271,pevek,69.7008,170.3133,273.97,99,100,3.84,RU,1693776532
272,vitim,59.4511,112.5578,276.85,70,33,0.87,RU,1693776533
273,ciudad ojeda,10.1964,-71.3082,304.15,64,99,2.03,VE,1693776533
274,mugla,37.2303,28.3557,292.88,58,4,2.31,TR,1693776533
275,ramjibanpur,22.8333,87.6167,299.43,92,100,2.22,IN,1693776533
276,saskylakh,71.9167,114.0833,272.49,97,99,2.67,RU,1693776534
277,camacupa,-12.0167,17.4833,293.92,14,98,1.6,AO,1693776534
278,acapulco,16.8634,-99.8901,305.05,62,75,3.09,MX,1693775892
279,show low,34.2542,-110.0298,301.31,32,0,7.2,US,1693776534
280,coahuayana,18.7333,-103.6833,305.99,60,86,3.24,MX,1693775949
281,aquiraz,-3.9014,-38.3911,301.2,80,5,4.86,BR,1693776534
282,jiazi,22.8779,116.067,300.01,86,100,4.34,CN,1693776535
283,ayacucho,-13.1583,-74.2239,297.07,23,20,1.54,PE,1693776535
284,naifaru,5.4444,73.3657,299.21,81,100,4.42,MV,1693776535
285,riyadh,24.6877,46.7219,305.23,18,0,0.98,SA,1693776434
286,maniitsoq,65.4167,-52.9,276.83,68,82,2.79,GL,1693775974
287,surt,31.2089,16.5887,299.46,68,99,4.34,LY,1693776535
288,mabaruma,8.2,-59.7833,301.15,83,20,0.0,GY,1693776536
289,maceio,-9.6658,-35.7353,298.84,78,20,4.12,BR,1693776328
290,aguazul,5.1728,-72.5471,301.4,81,88,1.34,CO,1693776536
291,naze,28.3667,129.4833,297.66,83,19,2.26,JP,1693775997
292,saint-leu,-21.15,55.2833,293.61,85,3,0.87,RE,1693776536
293,half moon bay,37.4636,-122.4286,299.58,67,100,7.72,US,1693776367
294,tayu,-6.5397,111.0518,295.1,78,93,4.48,ID,1693776536
295,nishihara,26.1842,127.7558,301.18,78,75,4.12,JP,1693776537
296,quzhou,28.9594,118.8686,296.34,97,99,2.64,CN,1693776537
297,taoudenni,22.6783,-3.9836,310.45,13,17,2.08,ML,1693775960
298,tabou,4.423,-7.3528,298.49,82,100,5.08,CI,1693776372
299,qaqortoq,60.7167,-46.0333,279.51,58,46,3.59,GL,1693776537
300,mendi,-6.1761,143.6513,286.19,99,91,0.33,PG,1693776537
301,soligalich,59.0778,42.2864,289.41,71,100,1.83,RU,1693776538
302,kangavar,34.5043,47.9653,297.42,23,6,1.2,IR,1693776538
303,severnyy,50.677,36.5532,288.17,72,0,4.02,RU,1693776538
304,cayenne,4.9333,-52.3333,303.17,66,0,4.12,GF,1693776538
305,tutoia,-2.7619,-42.2744,299.69,80,11,6.15,BR,1693776538
306,beysehir,37.6773,31.7246,291.68,67,26,3.19,TR,1693776405
307,venezuela,8.0,-66.0,306.44,51,100,4.93,VE,1693776539
308,naples,40.8333,14.25,298.78,69,0,1.03,IT,1693776418
309,grand gaube,-20.0064,57.6608,296.14,69,56,2.24,MU,1693775961
310,pangnirtung,66.1451,-65.7125,275.65,87,100,8.65,CA,1693776373
311,yeppoon,-23.1333,150.7333,288.03,81,0,2.46,AU,1693776539
312,san quintin,30.4833,-115.95,296.94,74,45,6.67,MX,1693775961
313,menongue,-14.6585,17.691,290.19,17,0,1.05,AO,1693776365
314,hambantota,6.1241,81.1185,298.34,94,75,4.12,LK,1693776540
315,staszow,50.5631,21.1659,288.68,60,100,2.76,PL,1693776540
